Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
Urban6,"Results (25 runs, no seed, same images)",Jitter + Flip,[0.04252699 0.06092411 0.10260306 0.04702275 0.6651243  0.16646744],[0.02749175 0.0681558  0.05922902 0.01192037 0.09026978 0.02057262],[0.00499932 0.01452988 0.03889818 0.00682631 0.18418084 0.03843672],[0.00386559 0.04054645 0.01908579 0.00223554 0.01568173 0.00456455]
Urban6,"Results (25 runs, no seed, same images)",Jitter + Flip + Blur,[0.03778079 0.0494936  0.08017558 0.05053052 0.53964686 0.12516333],[0.03468243 0.09187051 0.05725701 0.01866008 0.10323562 0.02470463],[0.00196429 0.01458168 0.0207253  0.00515235 0.16711389 0.04319753],[0.0098896  0.02276593 0.03609978 0.00293647 0.0197821  0.00656777]
Urban6,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 1.0])",[0.03967573 0.0976981  0.08713967 0.04467734 0.7089412  0.1319066 ],[0.02368862 0.07201955 0.09609461 0.01387022 0.11684776 0.01697349],[0.00338591 0.0241903  0.02907099 0.00477422 0.14140096 0.02147296],[0.0037485  0.02561573 0.03357289 0.00222304 0.02004701 0.0042896 ]
Urban6,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 2.0])",[0.03507843 0.0831122  0.08699498 0.04946034 0.66998756 0.12383094],[0.02302223 0.07065628 0.08687384 0.015956   0.10770507 0.01535057],[0.00126181 0.02803143 0.02148295 0.00484268 0.14732064 0.02965431],[0.00291058 0.02798031 0.03096145 0.00316241 0.01967051 0.00307158]
Urban6,"Results (25 runs, seed, same images)",Crop (50),[0.04039417 0.03484166 0.14550178 0.04150951 0.41714653 0.08517006],[0.02333262 0.08556299 0.0338886  0.01555168 0.09470627 0.02285468],[0.00611396 0.01827619 0.00619479 0.00637838 0.07766028 0.01346596],[0.00282984 0.01090167 0.01912676 0.00229142 0.01479304 0.00649092]
Urban6,"Results (25 runs, seed, same images)",Crop (75),[0.04191281 0.03495432 0.14516337 0.04186158 0.41666716 0.09059214],[0.025878   0.08408657 0.0327931  0.01464839 0.09401808 0.02510398],[0.0059207  0.01910909 0.01524797 0.00479551 0.07789671 0.02426466],[0.00940678 0.01406842 0.01542875 0.00175382 0.01318104 0.00965006]
Urban6,"Results (25 runs, seed, same images)",Crop (95),[0.03850602 0.04354242 0.14091237 0.04036223 0.4477842  0.08922353],[0.02257511 0.09208794 0.04264996 0.01358471 0.09373689 0.02153557],[0.00465195 0.03100858 0.01955629 0.00594988 0.13035841 0.01766769],[0.00273555 0.01916914 0.02507449 0.00199242 0.01501077 0.00439776]
Urban6,"Results (25 runs, seed, same images)",Vertical Flip,[0.0454871  0.06395765 0.07468502 0.04834129 0.78689444 0.19521433],[0.03003568 0.04624233 0.08063456 0.01267319 0.09965454 0.02153064],[0.00311292 0.00702106 0.01572378 0.0064263  0.07588891 0.01854203],[0.00412214 0.01593531 0.01400213 0.00193517 0.01188691 0.00318881]
Urban6,"Results (25 runs, seed, same images)",Horizontal Flip,[0.04600615 0.06298124 0.08081641 0.04860194 0.7576076  0.18861783],[0.02857487 0.04710247 0.07159867 0.01163216 0.09589592 0.02056959],[0.00472822 0.00870815 0.02683196 0.00578001 0.12559083 0.02694935],[0.00592224 0.01870912 0.02155406 0.00239124 0.01423135 0.00427409]
Urban6,"Results (25 runs, seed, same images)",Mix Flip,[0.04482896 0.06307261 0.08132938 0.04705586 0.7567545  0.19047217],[0.02854923 0.05174466 0.0721265  0.01284698 0.09490979 0.02226031],[0.00484018 0.00893336 0.02788737 0.00659249 0.12343962 0.02967507],[0.00516871 0.01822588 0.0203936  0.00284587 0.01343207 0.00597989]
Urban6,"Results (25 runs, seed, same images)",Random Flip,[0.0444683  0.0620565  0.09053252 0.04549699 0.7251772  0.1811865 ],[0.02748224 0.05360157 0.06636348 0.01253596 0.09587205 0.02031238],[0.00376136 0.01110977 0.03199075 0.00559615 0.15793039 0.03611415],[0.00456722 0.02453431 0.02246494 0.00215895 0.01117694 0.00380172]
Urban6,"Results (25 runs, seed, same images)",Jitter,[0.04180545 0.06631495 0.10073265 0.04335807 0.6619258  0.14355364],[0.021494   0.05728273 0.06592866 0.00889628 0.10038736 0.01695075],[0.00460173 0.026779   0.04524888 0.00580891 0.1937983  0.03682894],[0.00276577 0.02459053 0.03110123 0.00223657 0.01128142 0.00495727]
Urban6,"Results (25 runs, seed, same images)",Crop + Blur,[0.04224958 0.03746878 0.113576   0.04159909 0.41563243 0.08097883],[0.02648737 0.09249561 0.03302906 0.01877356 0.09131593 0.02318143],[0.00682603 0.02028097 0.0058915  0.00308139 0.04372962 0.01616414],[0.00209187 0.01683248 0.00363034 0.00233214 0.01830436 0.00752631]
Urban6,"Results (25 runs, seed, same images)",Crop + Flip,[0.04601947 0.05007364 0.09924137 0.04814751 0.5746729  0.15314454],[0.03608391 0.08211236 0.05918313 0.01871353 0.09561979 0.02580607],[0.00561786 0.01308434 0.03704898 0.00494687 0.18717274 0.04472401],[0.01001528 0.0277226  0.02474737 0.00280119 0.01396871 0.00784711]
Urban6,"Results (25 runs, seed, same images)",Crop + Flip + Blur,[0.0416078  0.05619257 0.07100946 0.04776471 0.5847731  0.13363668],[0.03924007 0.08355375 0.07352678 0.0231344  0.10746649 0.02857949],[0.002298   0.01939368 0.01941258 0.00536481 0.17142065 0.04862264],[0.00783679 0.02038603 0.03922087 0.00351558 0.02190545 0.00555922]
Urban6,"Results (25 runs, seed, same images)",Crop + Jitter,[0.03803907 0.03256567 0.14687769 0.04078233 0.403411   0.08992433],[0.02414959 0.09003994 0.03060506 0.01579959 0.09470925 0.02226043],[0.00576002 0.01000615 0.00515516 0.0050223  0.014546   0.01169964],[0.00225521 0.01437647 0.00417556 0.00225089 0.0149626  0.00452455]
Urban6,"Results (25 runs, seed, same images)",Crop + Jitter + Blur,[0.0422444  0.04032917 0.10790702 0.04518288 0.43318352 0.07845973],[0.02719988 0.09419268 0.04257951 0.01936755 0.0912384  0.02410869],[0.00889182 0.02762227 0.00762457 0.00351476 0.10176387 0.02185463],[0.00270707 0.01967719 0.02969766 0.00234082 0.02243765 0.00664463]
Urban6,"Results (25 runs, seed, same images)",Crop + Jitter + Flip,[0.04482249 0.04855326 0.10162054 0.04567163 0.57959306 0.14157577],[0.0338053  0.08579716 0.06190653 0.01914738 0.09817548 0.02563435],[0.00426627 0.01438585 0.03864381 0.00426829 0.18500566 0.04849628],[0.00712092 0.02523167 0.02797971 0.00231422 0.01242908 0.00647251]
Urban6,"Results (25 runs, seed, same images)",Jitter + Flip,[0.04192892 0.05240089 0.11322179 0.04745043 0.59721136 0.1517412 ],[0.02901186 0.08310444 0.06233747 0.01210652 0.09762131 0.02150604],[0.00356594 0.01160266 0.04050787 0.00785921 0.19412681 0.0467916 ],[0.00944087 0.0309336  0.02334154 0.0024589  0.01098815 0.00637448]
Urban6,"Results (25 runs, seed, same images)",Jitter + Flip + Blur,[0.03601104 0.06305496 0.06329772 0.05181762 0.66865873 0.14965649],[0.03643384 0.07614881 0.08940958 0.01931298 0.1119743  0.02818951],[0.00164583 0.01570436 0.01816607 0.00572186 0.14357892 0.03645434],[0.00784875 0.02744777 0.02837295 0.00242354 0.01865532 0.00697317]
Cuprite_fixed,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 1.0])","[0.2873317  0.08579592 0.1309946  0.09691079 0.10356392 0.05110896 0.1668734 0.06780384 0.08179852 0.05401448 0.09160306 0.12098078]",,"[0.0334531  0.00209545 0.01057412 0.00458296 0.00869579 0.00087834 0.02242342 0.00635261 0.00478177 0.00386204 0.01503769 0.02108647]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 2.0])","[0.300171   0.08523107 0.13880427 0.09601175 0.10484932 0.05087879 0.17326671 0.06671677 0.08383766 0.05433704 0.08678576 0.1161613 ]",,"[0.02812353 0.00197313 0.00930852 0.0040383  0.01065862 0.00067175 0.02001506 0.00655037 0.00522343 0.00437295 0.01832253 0.01488672]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop (50),"[0.31186715 0.08807926 0.14855087 0.08308937 0.10512093 0.05799199 0.16015175 0.07640802 0.08932263 0.05168185 0.0775621  0.12878133]",,"[0.02364357 0.00255744 0.01221372 0.00233876 0.01474577 0.00193089 0.02449651 0.01211805 0.00488855 0.00430069 0.01547977 0.02220361]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop (75),"[0.3005251  0.08871014 0.14575592 0.08283649 0.10393463 0.058581 0.15481359 0.07962614 0.09008388 0.05279544 0.07408138 0.13396932]",,"[0.03128495 0.00202362 0.01362016 0.00356163 0.01225428 0.00331525 0.02371665 0.01207825 0.00513964 0.00466501 0.01713399 0.02604415]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop (95),"[0.30632225 0.08826894 0.14333811 0.08329418 0.09876826 0.05896731 0.16472864 0.07232518 0.09015489 0.05226037 0.07623284 0.13580549]",,"[0.03629251 0.00211825 0.00873863 0.00249359 0.01446347 0.00239161 0.02271162 0.01119501 0.00580916 0.00447437 0.01486084 0.02043808]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Vertical Flip,"[0.32680038 0.08402832 0.1459212  0.08376386 0.10396007 0.06711242 0.19388033 0.08167721 0.10969307 0.06529137 0.10108345 0.12354092]",,"[0.04093482 0.00588699 0.0187133  0.00465852 0.01650152 0.00597502 0.03189477 0.01642777 0.01307108 0.00455534 0.01755627 0.02728854]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Horizontal Flip,"[0.3103626  0.0835438  0.15271646 0.08216091 0.09934765 0.06933394 0.19446366 0.08237679 0.10960753 0.06566124 0.09532323 0.12721571]",,"[0.06722761 0.00503709 0.03204596 0.00465728 0.01441456 0.00702206 0.02449685 0.02038065 0.00853772 0.00698615 0.01660341 0.02525418]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Mix Flip,"[0.3181989  0.08283544 0.14903237 0.08550555 0.10540103 0.07081377 0.19513014 0.09126619 0.10478063 0.0644457  0.09718063 0.12447128]",,"[0.03982281 0.00500382 0.01942622 0.00647678 0.01303838 0.00752588 0.018941   0.02286403 0.01063027 0.00624068 0.01658894 0.02736746]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Random Flip,"[0.31970468 0.08292467 0.15762657 0.08223354 0.10455948 0.06904235 0.2005361  0.08506428 0.10666919 0.06247333 0.10281216 0.1359007 ]",,"[0.06548488 0.00604936 0.02126923 0.00482152 0.014585   0.00783793 0.02773342 0.02104545 0.01233386 0.00707171 0.01777103 0.03479758]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Jitter,"[0.2872547  0.08410189 0.15363695 0.08824409 0.10898194 0.05339231 0.18614537 0.06996042 0.0855204  0.05260662 0.07787459 0.11889963]",,"[0.07004917 0.00792315 0.01940199 0.00446857 0.01531733 0.00358067 0.02599252 0.01158257 0.00846015 0.00234854 0.01213879 0.02950311]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop + Blur,"[0.29255298 0.0827495  0.12893063 0.09499049 0.10650626 0.051103 0.17205055 0.06762611 0.08841275 0.05311139 0.09577758 0.11705909]",,"[0.03017878 0.00201771 0.00892399 0.00395764 0.01521759 0.00074261 0.01412628 0.00644823 0.00470461 0.00283766 0.01396481 0.01598116]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop + Flip,"[0.31074497 0.07902984 0.14838547 0.08343272 0.10365436 0.06325715 0.19205633 0.06114825 0.10429982 0.06350099 0.10991585 0.14059263]",,"[0.02195867 0.00295541 0.01685899 0.00306625 0.01337226 0.00359924 0.01106779 0.00852174 0.00606229 0.00587874 0.01546827 0.02875134]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop + Flip + Blur,"[0.27663153 0.07530258 0.13534698 0.09164362 0.10894696 0.05409033 0.17050874 0.06594794 0.10035358 0.07687926 0.13533998 0.1451577 ]",,"[0.0210761  0.00313201 0.01031935 0.00358441 0.01135584 0.0016034 0.01764695 0.00816131 0.00312828 0.00639545 0.01234587 0.02408898]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop + Jitter,"[0.3151531  0.09013679 0.14777002 0.08293757 0.1037349  0.05668082 0.17366974 0.08343421 0.08586244 0.05160515 0.08164082 0.12417312]",,"[0.02427854 0.00174706 0.01368137 0.00254856 0.01343197 0.00253082 0.0207387  0.01094359 0.00684515 0.00281461 0.01192096 0.02997139]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop + Jitter + Blur,"[0.2995923  0.08154791 0.12712301 0.09343876 0.10306874 0.05156459 0.1686961  0.06952732 0.0820419  0.05258545 0.1025954  0.1206009 ]",,"[0.02444628 0.00155886 0.00862159 0.00281608 0.0083294  0.00078608 0.01578994 0.00682967 0.00527587 0.00314195 0.00818846 0.01793699]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop + Jitter + Flip,"[0.2796384  0.07352392 0.14469096 0.08415465 0.10891525 0.06293949 0.19539061 0.06577789 0.09903695 0.06579008 0.12130893 0.13779981]",,"[0.02892086 0.00264579 0.01332184 0.00311825 0.01266277 0.00254121 0.00946658 0.0133353  0.00590839 0.00579577 0.01001878 0.02375855]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Jitter + Flip,"[0.3020998  0.07931318 0.14469379 0.08367205 0.10909268 0.0678408 0.19953762 0.07483703 0.10301451 0.06232457 0.10961039 0.12632346]",,"[0.05582644 0.00493248 0.02262896 0.00646121 0.01096194 0.00495711 0.01482027 0.02003198 0.00614752 0.00535489 0.00874124 0.03486015]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Jitter + Flip + Blur,"[0.2633579  0.06988695 0.13284993 0.09141452 0.10887209 0.05382882 0.17223406 0.06605317 0.09105431 0.08121075 0.13361426 0.13984336]",,"[0.02021838 0.00184008 0.01154253 0.00403473 0.00460936 0.00147539 0.0193628  0.01097338 0.00418449 0.00374361 0.00512455 0.02948662]",
Cuprite_fixed,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 1.0])","[0.29986063 0.08545773 0.13099839 0.09434156 0.09988371 0.05129409 0.171863   0.06368679 0.08039542 0.05313047 0.09539059 0.11696543]",,"[0.02499956 0.00261538 0.01140508 0.00523562 0.0069261  0.00082232 0.01888608 0.00541685 0.00649494 0.00329932 0.00961569 0.00940601]",
Cuprite_fixed,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 2.0])","[0.2992906  0.08550045 0.12842967 0.09373443 0.1005982  0.05111696 0.17277901 0.06967333 0.07949132 0.05349873 0.09436022 0.11818884]",,"[0.02847723 0.00250602 0.01083417 0.00521242 0.00688711 0.00095347 0.02101925 0.00768032 0.00400569 0.00476031 0.01433905 0.01270201]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop (50),"[0.30506378 0.08709716 0.14837918 0.08789327 0.10257073 0.05500387 0.17143732 0.07372513 0.08868755 0.05232575 0.08242176 0.11671641]",,"[0.03034785 0.00195272 0.01164209 0.00555377 0.01528084 0.00312137 0.0313438  0.01430471 0.00711953 0.00324197 0.01475856 0.02255354]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop (75),"[0.31206125 0.08684918 0.14569403 0.08752197 0.10160153 0.05428304 0.17209898 0.07511803 0.08978564 0.05355245 0.07651906 0.11627288]",,"[0.02007119 0.00378168 0.01191975 0.00550253 0.01513111 0.00207733 0.02574543 0.0119355  0.00608007 0.00419481 0.01506856 0.01919605]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop (95),"[0.30954543 0.0875329  0.14714259 0.08647285 0.10273331 0.05455747 0.16201307 0.07643007 0.08670014 0.05237343 0.07740214 0.11925118]",,"[0.03352142 0.00241657 0.01405717 0.00470437 0.01564116 0.00238193 0.02351693 0.01176678 0.00921017 0.00474792 0.0163228  0.01950077]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Vertical Flip,"[0.32249466 0.08353546 0.15071653 0.08288582 0.11626203 0.07084281 0.18955566 0.08791336 0.10497233 0.06357069 0.09954809 0.120371  ]",,"[0.05033149 0.00463458 0.02411238 0.00495977 0.01581597 0.0100283 0.01985735 0.02757937 0.0112147  0.00636178 0.01722465 0.0201921 ]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Horizontal Flip,"[0.31380016 0.08607534 0.14598429 0.08576685 0.10896863 0.06277873 0.21124709 0.07575751 0.11487067 0.06427332 0.09913025 0.1436777 ]",,"[0.07180408 0.00436813 0.02362708 0.00410945 0.01480444 0.00926959 0.02080716 0.01752345 0.00932153 0.00620737 0.01604692 0.04084531]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Mix Flip,"[0.3405557  0.08619996 0.14794539 0.08490773 0.11535095 0.06118671 0.19357094 0.08056168 0.10436403 0.06269415 0.10403169 0.12087341]",,"[0.03355682 0.00502209 0.022491   0.00502206 0.01713294 0.00417601 0.02961573 0.0165409  0.01300973 0.00513512 0.02019591 0.02109919]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Random Flip,"[0.31949887 0.08383072 0.15088527 0.08185361 0.10547641 0.07376025 0.19335766 0.08748744 0.10858678 0.06526361 0.09758861 0.12259998]",,"[0.04260634 0.00420524 0.02008401 0.00415557 0.01300581 0.01253656 0.02407415 0.02054174 0.01340555 0.00540239 0.0189642  0.02572809]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Jitter,"[0.32299462 0.08469762 0.14835435 0.08735774 0.11354914 0.05476727 0.18999285 0.07584503 0.08241142 0.05054648 0.07383157 0.11101467]",,"[0.0389611  0.00696665 0.01918867 0.00510597 0.01274978 0.00387315 0.02722659 0.0095007  0.00748439 0.00272026 0.01236711 0.02589575]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Blur,"[0.3002945  0.08319976 0.13306187 0.09333858 0.10599323 0.05178475 0.17314674 0.06636237 0.0828226  0.05295821 0.09614936 0.11793854]",,"[0.02873796 0.00250452 0.01230253 0.00291834 0.00944092 0.00079875 0.01628102 0.00826891 0.0073057  0.00310277 0.01038641 0.01049745]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Flip,"[0.29156476 0.07972904 0.1481974  0.08751406 0.10197036 0.06173797 0.18672788 0.08328232 0.10676899 0.067778   0.11562148 0.12235522]",,"[0.03639971 0.00322953 0.01999179 0.00653346 0.01278581 0.00335668 0.02989758 0.01496284 0.01011952 0.0063496  0.01832321 0.02147351]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Flip + Blur,"[0.28080696 0.07545863 0.12688519 0.09362403 0.1084967  0.05459495 0.18121763 0.05674719 0.09705582 0.07564751 0.13562334 0.13505095]",,"[0.0253381  0.00468877 0.00873897 0.00400796 0.00664686 0.00135306 0.01028034 0.00459335 0.00493429 0.00659363 0.00789332 0.013239  ]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Jitter,"[0.29612827 0.08365833 0.1325256  0.09029996 0.10589807 0.05232377 0.1675631  0.07317817 0.08358633 0.05151596 0.09359121 0.11364907]",,"[0.03140768 0.00349389 0.00694305 0.00605166 0.01182939 0.00157507 0.02232868 0.00769217 0.0053935  0.00379064 0.01142084 0.01855589]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Jitter + Blur,"[0.29157698 0.08167501 0.12813883 0.09455325 0.10257071 0.05162177 0.16828714 0.0608171  0.08165438 0.05716825 0.10829747 0.12790178]",,"[0.02552346 0.00217303 0.00836309 0.00363634 0.00827158 0.00076199 0.01172577 0.00651772 0.00398983 0.00467786 0.00759953 0.01411147]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Jitter + Flip,"[0.2807876  0.07776718 0.1431951  0.08859134 0.10240329 0.06128052 0.18424198 0.08119792 0.09618538 0.0701479  0.12490986 0.11757112]",,"[0.03136698 0.00417441 0.01479306 0.00482477 0.01176844 0.00299588 0.02136414 0.01353839 0.00502363 0.0064101  0.0157892  0.02702373]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Jitter + Flip,"[0.28832713 0.07703036 0.14444202 0.08324027 0.10617876 0.06693099 0.18656692 0.07952651 0.09669591 0.06442256 0.11663432 0.12297118]",,"[0.04681047 0.00505926 0.01552042 0.00335852 0.01082662 0.00661351 0.02420081 0.01763875 0.00845025 0.00697663 0.00989958 0.02192039]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Jitter + Flip + Blur,"[0.27273533 0.07136026 0.12420502 0.0928183  0.1067647  0.05473412 0.1806638  0.06032129 0.09109315 0.07847725 0.13312376 0.13365413]",,"[0.02426684 0.00268162 0.01015143 0.00342485 0.00559698 0.00188996 0.01489356 0.00573757 0.00608252 0.00622113 0.01093304 0.01501362]",
Cuprite_fixed,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 1.0])","[0.30832893 0.0864138  0.13136284 0.09586743 0.10565598 0.05181259 0.18152502 0.06562766 0.083661   0.05235837 0.0970043  0.12079876]",,"[0.01827604 0.00252643 0.00973747 0.00326226 0.01074464 0.001165 0.01646746 0.00631778 0.00637241 0.00277201 0.00539793 0.01766872]",
Cuprite_fixed,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 2.0])","[0.3016186  0.08462617 0.1288926  0.09590687 0.10109652 0.05086667 0.18609872 0.06509065 0.08193213 0.05440379 0.0960888  0.12227687]",,"[0.01990184 0.0017865  0.00728624 0.00246082 0.01046136 0.00104132 0.01776964 0.00554373 0.00612283 0.00216088 0.00642375 0.01819775]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop (50),"[0.3016329  0.08472566 0.15023345 0.08952417 0.08941847 0.05312204 0.19004601 0.06869003 0.09673394 0.05411012 0.09094442 0.1237154 ]",,"[0.0279767  0.00320316 0.01817147 0.00365325 0.01033904 0.00234349 0.02723127 0.00724692 0.00859765 0.00384121 0.01054916 0.02371581]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop (75),"[0.31314483 0.08439425 0.14902249 0.0883031  0.09181073 0.05371661 0.19218369 0.07308933 0.09324875 0.05447187 0.0892231  0.12237446]",,"[0.01735504 0.00377527 0.01895016 0.00257654 0.01188094 0.00193821 0.02353078 0.00645115 0.00926015 0.00334783 0.00919858 0.01811152]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop (95),"[0.30387226 0.08478229 0.15079616 0.08991527 0.0890252  0.05344165 0.1880007  0.07230579 0.09492121 0.05482742 0.09298959 0.12310494]",,"[0.03115021 0.00299598 0.01923921 0.00370234 0.01135112 0.00246712 0.02913921 0.00860252 0.0097578  0.00355708 0.00718694 0.01847897]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Vertical Flip,"[0.2979417  0.08713222 0.13922465 0.08638242 0.12713851 0.05612046 0.19463581 0.0687269  0.10528903 0.07059627 0.10123992 0.13289161]",,"[0.07352953 0.00596997 0.01659365 0.00584653 0.01472842 0.00390556 0.02802551 0.00580409 0.01056683 0.00384862 0.02191695 0.02220723]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Horizontal Flip,"[0.27068624 0.08646761 0.144125   0.08660623 0.12372937 0.05462919 0.19301863 0.07070955 0.10682294 0.07083321 0.09906442 0.12342378]",,"[0.09359202 0.0049698  0.01905877 0.005341   0.0113297  0.00196014 0.02742672 0.01065929 0.0112415  0.00499578 0.02410875 0.02153531]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Mix Flip,"[0.22871223 0.08609229 0.14226955 0.08666126 0.12259851 0.05451204 0.1903012  0.06733422 0.10782459 0.07032625 0.09764596 0.14038725]",,"[0.08773644 0.00739202 0.01708085 0.00439138 0.0176166  0.00217385 0.03444945 0.00662698 0.01288192 0.00370767 0.02500953 0.03121042]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Random Flip,"[0.2864518  0.08590782 0.1381683  0.08457135 0.12483153 0.05474039 0.20007467 0.06516251 0.10745862 0.06948607 0.09642503 0.12605837]",,"[0.08923743 0.00618759 0.0150229  0.00439591 0.01335298 0.00172779 0.02536827 0.00463184 0.01218446 0.00488722 0.02123927 0.02068598]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Jitter,"[0.31826028 0.0901105  0.1392974  0.08330082 0.11491976 0.06252465 0.18395698 0.06829739 0.08181524 0.05372516 0.08734835 0.11579594]",,"[0.02521875 0.00742078 0.01446999 0.00289796 0.01273844 0.00569404 0.02342953 0.01033716 0.00705204 0.00194616 0.007094   0.01231727]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Blur,"[0.29691756 0.08184223 0.13525681 0.09309693 0.10318004 0.05301228 0.16381331 0.07345627 0.08521531 0.05392471 0.09663126 0.1128412 ]",,"[0.02938723 0.00167011 0.01328268 0.00481359 0.0120714  0.00163662 0.02443392 0.00833631 0.00403822 0.00293376 0.0088746  0.01203086]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Flip,"[0.28356522 0.08118197 0.14008108 0.08695439 0.09857354 0.0648777 0.17621014 0.09033367 0.10508408 0.06987382 0.12419561 0.11065813]",,"[0.03321285 0.00372225 0.01112976 0.004286   0.00847328 0.00287842 0.01838173 0.0150268  0.00719143 0.0045223  0.01232543 0.03397547]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Flip + Blur,"[0.27781722 0.07337265 0.12791426 0.08935544 0.11320111 0.0551851 0.17893894 0.06017212 0.09621368 0.0695706  0.12705716 0.14481583]",,"[0.02770775 0.00154641 0.00679822 0.00306075 0.00978953 0.00151155 0.01462265 0.00720352 0.00458133 0.00569286 0.00705714 0.01765002]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Jitter,"[0.2917487  0.08806831 0.13823488 0.08519475 0.10902256 0.05934294 0.1710335  0.06462151 0.08278973 0.05638697 0.08823903 0.1268096 ]",,"[0.03690934 0.00274503 0.00695554 0.00328635 0.01099028 0.00383704 0.02143176 0.00927118 0.00608014 0.00312313 0.0150864  0.02050661]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Jitter + Blur,"[0.29738483 0.08075093 0.13132653 0.09267541 0.10070661 0.05173872 0.16281262 0.06453552 0.08043781 0.05765605 0.10162312 0.11887067]",,"[0.02484083 0.00187561 0.00934451 0.00488576 0.0053295  0.00078044 0.01880371 0.00917477 0.00374664 0.00400783 0.01563511 0.01407754]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Jitter + Flip,"[0.28512946 0.07608141 0.13597873 0.08289158 0.10421896 0.06506735 0.18132907 0.07695897 0.10192469 0.07252757 0.12167552 0.11142883]",,"[0.03087283 0.00504991 0.00961015 0.00394248 0.01255756 0.00351086 0.0161145  0.01754413 0.00383509 0.00415529 0.01276063 0.02231539]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Jitter + Flip,"[0.29223588 0.07366459 0.14577271 0.08364014 0.10229947 0.06799857 0.18544747 0.07700113 0.09682844 0.0689642  0.11280666 0.11320128]",,"[0.05389996 0.00364138 0.01727574 0.00405985 0.01508787 0.00531795 0.0224275  0.02027837 0.00934672 0.00457768 0.01010941 0.02102714]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Jitter + Flip + Blur,"[0.2738403  0.07074221 0.12926863 0.09099279 0.10392208 0.05582598 0.17032479 0.05832801 0.08897912 0.07905206 0.13567145 0.12634517]",,"[0.02154008 0.00222554 0.01037386 0.00306916 0.00914279 0.00244047 0.01891069 0.00928414 0.00667853 0.00604603 0.00731219 0.01937108]",
JasperRidge,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 1.0])",[0.040666   0.06152292 0.09468123 0.34082127],,[0.00623831 0.01405295 0.02080666 0.14236489],
