Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Flip + Blur,"[0.28359008 0.08211911 0.14022808 0.0910164  0.10055247 0.05671861
 0.1789307  0.0773155  0.09327251 0.07252312 0.1182937  0.12938665]",,"[0.02586867 0.00451756 0.01354346 0.0032716  0.01375674 0.00389696
 0.02552883 0.0076624  0.01301175 0.00653349 0.01995083 0.02957876]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Jitter,"[0.31275758 0.0828287  0.1516259  0.08936024 0.11104813 0.05435348
 0.19501017 0.07529943 0.0834612  0.05259946 0.08235461 0.11625757]",,"[0.0269064  0.00707516 0.01513486 0.00340015 0.0134454  0.00468696
 0.01804193 0.01188065 0.00589645 0.00220464 0.01070447 0.01902689]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Jitter + Blur,"[0.31201312 0.08342552 0.13481829 0.09004156 0.1041384  0.05173282
 0.17192553 0.07070623 0.08277223 0.05296598 0.081986   0.11683783]",,"[0.02783171 0.00608575 0.0166999  0.0024659  0.01019077 0.00245064
 0.0301414  0.00621652 0.00630384 0.00145048 0.0136971  0.01252204]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Crop + Jitter + Flip,"[0.29199633 0.09183932 0.14834107 0.08864325 0.09325115 0.05797736
 0.14886743 0.06948185 0.0897008  0.05623921 0.08316593 0.11991446]",,"[0.04330226 0.01169575 0.01346448 0.0026485  0.01030741 0.00351863
 0.0182978  0.00781521 0.00915672 0.00355647 0.01347117 0.02183207]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Jitter + Flip,"[0.27928492 0.07742569 0.14794987 0.08640905 0.10418686 0.05939963
 0.19004272 0.07287718 0.09091603 0.06605464 0.0730542  0.11720885]",,"[0.05494539 0.00659744 0.01859201 0.00384758 0.01110481 0.00441314
 0.01199692 0.0109766  0.00773229 0.01333425 0.0178869  0.01590166]",
Cuprite_fixed,"Results (25 runs, seed, same images)",Jitter + Flip + Blur,"[0.2880398  0.08061466 0.14254858 0.0880013  0.09769492 0.05132416
 0.1862151  0.07396387 0.09259373 0.06118749 0.09531703 0.12033819]",,"[0.03100373 0.00742174 0.01400945 0.00325499 0.00970997 0.00288406
 0.02037833 0.00849273 0.01068043 0.007307   0.01606118 0.02178872]",
JasperRidge,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 1.0])",[0.06124966 0.04342503 0.0595798  0.20044968],,[0.01002849 0.00295961 0.02009916 0.15077122],
JasperRidge,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 2.0])",[0.06739597 0.04354197 0.08167227 0.19500849],,[0.02187189 0.00652802 0.02940884 0.09601919],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop (50),[0.11136988 0.07006968 0.25601542 0.3862373 ],,[0.0445533  0.01647322 0.30596107 0.2992604 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop (75),[0.11079174 0.06785857 0.18718588 0.2757887 ],,[0.02602997 0.00912434 0.18454698 0.22451767],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop (95),[0.0760095  0.0451803  0.08202747 0.19742423],,[0.01687852 0.00406735 0.03056775 0.10703694],
JasperRidge,"Results (25 runs, no seed, diff images)",Vertical Flip,[0.11246021 0.06866234 0.11992843 0.28355122],,[0.02428284 0.01251412 0.05871928 0.16673087],
JasperRidge,"Results (25 runs, no seed, diff images)",Horizontal Flip,[0.09473392 0.05013729 0.08579201 0.25409675],,[0.01618716 0.00830544 0.02152888 0.24195948],
JasperRidge,"Results (25 runs, no seed, diff images)",Mix Flip,[0.07783166 0.06384179 0.09846388 0.20991647],,[0.00926433 0.00981148 0.02521286 0.08592051],
